sistema,tipo,suporte,tp,fp,fn,precisao,recall,f1
presidio_padrao,PESSOA,292,240,119,52,0.6685,0.8219,0.7373
presidio_padrao,BR_CPF,133,0,0,133,0.0000,0.0000,0.0000
presidio_padrao,BR_CNS,120,0,0,120,0.0000,0.0000,0.0000
presidio_padrao,DATA,98,48,0,50,1.0000,0.4898,0.6575
presidio_padrao,TELEFONE,60,27,32,33,0.4576,0.4500,0.4538
presidio_padrao,EMAIL,26,26,0,0,1.0000,1.0000,1.0000
presidio_padrao,ENDERECO,58,0,296,58,0.0000,0.0000,0.0000
presidio_padrao,micro,787,341,447,446,0.4327,0.4333,0.4330
presidio_br,PESSOA,292,240,119,52,0.6685,0.8219,0.7373
presidio_br,BR_CPF,133,133,0,0,1.0000,1.0000,1.0000
presidio_br,BR_CNS,120,120,0,0,1.0000,1.0000,1.0000
presidio_br,DATA,98,48,0,50,1.0000,0.4898,0.6575
presidio_br,TELEFONE,60,27,32,33,0.4576,0.4500,0.4538
presidio_br,EMAIL,26,26,0,0,1.0000,1.0000,1.0000
presidio_br,ENDERECO,58,0,296,58,0.0000,0.0000,0.0000
presidio_br,micro,787,594,447,193,0.5706,0.7548,0.6499
ollama_qwen,PESSOA,292,292,1,0,0.9966,1.0000,0.9983
ollama_qwen,BR_CPF,133,133,0,0,1.0000,1.0000,1.0000
ollama_qwen,BR_CNS,120,120,0,0,1.0000,1.0000,1.0000
ollama_qwen,DATA,98,98,0,0,1.0000,1.0000,1.0000
ollama_qwen,TELEFONE,60,60,0,0,1.0000,1.0000,1.0000
ollama_qwen,EMAIL,26,26,0,0,1.0000,1.0000,1.0000
ollama_qwen,ENDERECO,58,58,0,0,1.0000,1.0000,1.0000
ollama_qwen,micro,787,787,1,0,0.9987,1.0000,0.9994
ollama_phi,PESSOA,292,292,0,0,1.0000,1.0000,1.0000
ollama_phi,BR_CPF,133,130,0,3,1.0000,0.9774,0.9886
ollama_phi,BR_CNS,120,119,0,1,1.0000,0.9917,0.9958
ollama_phi,DATA,98,95,0,3,1.0000,0.9694,0.9845
ollama_phi,TELEFONE,60,60,0,0,1.0000,1.0000,1.0000
ollama_phi,EMAIL,26,26,0,0,1.0000,1.0000,1.0000
ollama_phi,ENDERECO,58,48,0,10,1.0000,0.8276,0.9057
ollama_phi,micro,787,770,0,17,1.0000,0.9784,0.9891
